"","x","y","eligible","inducted"
"1197",97,12,0,0
"1198",98,12,0,0
"1199",99,12,0,0
"1200",100,12,0,0
"1201",1,13,0,0
"1202",2,13,0,0
"1203",3,13,0,0
"1204",4,13,0,0
"1205",5,13,0,0
"1206",6,13,0,0
"1207",7,13,0,0
"1208",8,13,0,0
"1209",9,13,0,0
"1210",10,13,0,0
"1211",11,13,0,0
"1212",12,13,0,0
"1213",13,13,0,0
"1214",14,13,0,0
"1215",15,13,0,0
"1216",16,13,0,0
"1217",17,13,0,0
"1218",18,13,0,0
"1219",19,13,0,0
"1220",20,13,0,0
"1221",21,13,0,0
"1222",22,13,0,0
"1223",23,13,0,0
"1224",24,13,0,0
"1225",25,13,0,0
"1226",26,13,0,0
"1227",27,13,0,0
"1228",28,13,0,0
"1229",29,13,0,0
"1230",30,13,0,0
"1231",31,13,0,0
"1232",32,13,0,0
"1233",33,13,0,0
"1234",34,13,0,0
"1235",35,13,0,0
"1236",36,13,0,0
"1237",37,13,0,0
"1238",38,13,0,0
"1239",39,13,0,0
"1240",40,13,0,0
"1241",41,13,0,0
"1242",42,13,0,0
